message_id,action,message_type,reason,confidence,evidence_message_ids
msg_060,digest,promotion,safe non-urgent content; message contains promotional language; image attachment is available; similar prior message message_0284,0.82,message_0284;message_0176;message_0404;message_0375;message_0175
msg_004,digest,event,safe non-urgent content; message describes an operational update or event; recipient has opted out or dismissed similar promotions; similar prior message message_0005,0.84,message_0005;message_0245;message_0246;message_0064;message_0063
msg_030,mute,forward,severe notification fatigue; message has a forwarding signal; image attachment is available; recipient has muted this group; similar prior message message_0115,0.77,message_0115;message_0335;message_0050;message_0116;message_0383
msg_045,digest,greeting,safe non-urgent content; message is conversational; similar prior message message_0061,0.74,message_0061;message_0146;message_0027;message_0145;message_0230
msg_052,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0208,0.59,message_0208;message_0207;message_0159;message_0160;message_0286
msg_009,digest,unknown,ambiguous content; recipient has muted this group; similar prior message message_0074,0.75,message_0074;message_0073;message_0032
msg_071,digest,unknown,ambiguous content; similar prior message message_0197,0.66,message_0197;message_0198
msg_016,digest,payment,safe non-urgent content; message refers to credentials or account access; message arrived during quiet hours; similar prior message message_0024,0.77,message_0024;message_0087;message_0183;message_0201;message_0088
msg_065,digest,promotion,safe non-urgent content; message contains promotional language; image attachment is available; similar prior message message_0261,0.82,message_0261;message_0260;message_0185;message_0032;message_0108
msg_038,digest,spam,suspicious but not decisive; safety rules found risky content; similar prior message message_0131,0.68,message_0131;message_0132;message_0082;message_0009;message_0341
msg_086,digest,business_update,safe non-urgent content; message comes from a business account; voice-note attachment is available; similar prior message message_0222,0.75,message_0222
msg_014,mute,business_update,severe notification fatigue; message comes from a business account; recipient has opted out or dismissed similar promotions; similar prior message message_0017,0.69,message_0017;message_0018;message_0258;message_0084;message_0083
msg_094,mute,promotion,severe notification fatigue; message contains promotional language; similar prior message message_0356,0.60,message_0356;message_0048;message_0357;message_0204;message_0223
msg_029,digest,spam,suspicious but not decisive; safety rules found risky content; image attachment is available; similar prior message message_0113,0.73,message_0113;message_0095;message_0332;message_0401;message_0049
msg_105,digest,spam,suspicious but not decisive; safety rules found risky content; similar prior message message_0233,0.70,message_0233;message_0373;message_0122;message_0121;message_0372
msg_002,digest,payment,safe non-urgent content; message concerns payment or account activity; similar prior message message_0003,0.70,message_0003;message_0059;message_0169;message_0266;message_0041
msg_010,digest,business_update,safe non-urgent content; message comes from a business account; recipient has opted out or dismissed similar promotions; similar prior message message_0011,0.84,message_0011;message_0242;message_0075;message_0076;message_0243
msg_078,mute,spam,severe notification fatigue; safety rules found risky content; recipient has muted this group; similar prior message message_0211,0.61,message_0211;message_0220;message_0163;message_0212;message_0204
msg_013,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0081,0.66,message_0081;message_0082;message_0341;message_0342;message_0408
msg_018,digest,spam,suspicious but not decisive; safety rules found risky content; similar prior message message_0026,0.70,message_0026;message_0092;message_0091;message_0011;message_0242
msg_044,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0143",0.93,message_0143;message_0144;message_0036;message_0362;message_0222
msg_032,digest,unknown,ambiguous content; similar prior message message_0119,0.69,message_0119;message_0285;message_0120;message_0374;message_0160
msg_106,digest,personal,safe non-urgent content; message is from a personal chat; similar prior message message_0234,0.71,message_0234;message_0376;message_0377;message_0293;message_0205
msg_006,mute,scam,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; similar prior message message_0067",0.93,message_0067;message_0097;message_0029;message_0044;message_0068
msg_109,mute,scam,Safety override; payment or qr pressure; safety rules found risky content; similar prior message message_0151,0.95,message_0151;message_0152;message_0237;message_0067;message_0097
msg_108,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0094",0.80,message_0094;message_0093;message_0236;message_0277;message_0275
msg_019,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0277,0.61,message_0277;message_0275;message_0276;message_0094;message_0093
msg_088,digest,unknown,ambiguous content; voice-note attachment is available; recipient has muted this group; similar prior message message_0050,0.73,message_0050;message_0115;message_0116;message_0224;message_0335
msg_056,digest,event,safe non-urgent content; message describes an operational update or event; recipient has muted this group; similar prior message message_0226,0.69,message_0226;message_0167;message_0217;message_0359;message_0168
msg_027,digest,business_update,safe non-urgent content; message comes from a business account; image attachment is available; similar prior message message_0007,0.82,message_0007;message_0033;message_0272;message_0109;message_0110
msg_050,digest,event,safe non-urgent content; message describes an operational update or event; recipient has opted out or dismissed similar promotions; similar prior message message_0279,0.84,message_0279;message_0278;message_0155;message_0156;message_0280
msg_083,digest,unknown,ambiguous content; voice-note attachment is available; similar prior message message_0219,0.68,message_0219
msg_063,mute,scam,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; similar prior message message_0181",0.91,message_0181;message_0182;message_0365;message_0364;message_0254
msg_033,digest,greeting,safe non-urgent content; message is conversational; similar prior message message_0121,0.75,message_0121;message_0122;message_0372;message_0280;message_0393
msg_061,digest,spam,suspicious but not decisive; safety rules found risky content; recipient has muted this group; similar prior message message_0177,0.67,message_0177;message_0193;message_0080;message_0042;message_0079
msg_020,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0096,0.66,message_0096;message_0049;message_0114;message_0095;message_0065
msg_017,mute,scam,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; recipient has muted this group; similar prior message message_0089",0.95,message_0089;message_0090;message_0319
msg_058,digest,spam,suspicious but not decisive; safety rules found risky content; recipient has muted this group; similar prior message message_0040,0.67,message_0040;message_0241;message_0039;message_0078;message_0124
msg_026,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0032,0.61,message_0032;message_0107;message_0108;message_0260;message_0261
msg_047,digest,unknown,ambiguous content; similar prior message message_0149,0.66,message_0149;message_0001;message_0151;message_0068;message_0098
msg_046,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0148",0.93,message_0148;message_0147;message_0024;message_0251;message_0407
msg_042,digest,unknown,ambiguous content; similar prior message message_0140,0.68,message_0140;message_0058;message_0139;message_0217;message_0057
msg_079,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0369,0.69,message_0369;message_0023;message_0045;message_0173;message_0174
msg_098,digest,event,safe non-urgent content; message describes an operational update or event; similar prior message message_0226,0.70,message_0226;message_0359;message_0054;message_0225;message_0167
msg_037,digest,greeting,safe non-urgent content; message is conversational; similar prior message message_0001,0.74,message_0001;message_0271;message_0237;message_0030;message_0410
msg_007,digest,unknown,ambiguous content; similar prior message message_0070,0.61,message_0070;message_0275;message_0276;message_0069;message_0277
msg_085,digest,scam,suspicious but not decisive; safety rules found risky content; voice-note attachment is available; message arrived during quiet hours; similar prior message message_0221,0.57,message_0221
msg_001,notify,event,useful urgent content; message describes an operational update or event; similar prior message message_0057,0.65,message_0057;message_0240;message_0139;message_0105;message_0217
msg_021,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0068,0.66,message_0068;message_0098;message_0029;message_0044;message_0001
msg_028,mute,promotion,promotion opt-out or repeated dismissal; message contains promotional language; image attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0034,0.87,message_0034;message_0112;message_0111;message_0104;message_0257
msg_012,digest,spam,suspicious but not decisive; safety rules found risky content; similar prior message message_0079,0.67,message_0079;message_0247;message_0178;message_0194;message_0177
msg_064,digest,payment,safe non-urgent content; message concerns payment or account activity; image attachment is available; similar prior message message_0087,0.78,message_0087;message_0183;message_0201;message_0024;message_0162
msg_103,digest,greeting,safe non-urgent content; message is conversational; similar prior message message_0065,0.76,message_0065;message_0382;message_0231;message_0049;message_0066
msg_031,digest,greeting,safe non-urgent content; message is conversational; image attachment is available; similar prior message message_0249,0.77,message_0249;message_0118;message_0117;message_0227;message_0143
msg_057,digest,unknown,ambiguous content; similar prior message message_0059,0.63,message_0059;message_0169;message_0003;message_0266;message_0041
msg_087,digest,unknown,ambiguous content; voice-note attachment is available; recipient has muted this group; similar prior message message_0203,0.73,message_0203;message_0204;message_0223;message_0358;message_0163
msg_067,digest,payment,safe non-urgent content; message concerns payment or account activity; similar prior message message_0068,0.75,message_0068;message_0098;message_0271;message_0029;message_0044
msg_039,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0364,0.64,message_0364;message_0051;message_0403;message_0255;message_0365
msg_082,digest,unknown,ambiguous content; voice-note attachment is available; similar prior message message_0218,0.68,message_0218;message_0397;message_0380
msg_066,mute,forward,severe notification fatigue; message has a forwarding signal; image attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0257,0.72,message_0257;message_0402;message_0052;message_0188;message_0034
msg_049,digest,payment,safe non-urgent content; message refers to credentials or account access; image attachment is available; similar prior message message_0154,0.80,message_0154;message_0291;message_0153;message_0290
msg_015,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0023",0.92,message_0023;message_0045;message_0085;message_0199;message_0221
msg_051,mute,forward,severe notification fatigue; message has a forwarding signal; recipient has opted out or dismissed similar promotions; similar prior message message_0257,0.69,message_0257;message_0402;message_0052;message_0104;message_0157
msg_097,digest,greeting,safe non-urgent content; message is conversational; similar prior message message_0359,0.69,message_0359;message_0054;message_0225;message_0167;message_0226
msg_089,digest,greeting,safe non-urgent content; message is conversational; similar prior message message_0299,0.68,message_0299;message_0396;message_0301
msg_053,digest,spam,suspicious but not decisive; safety rules found risky content; image attachment is available; similar prior message message_0161,0.71,message_0161;message_0411;message_0253;message_0162;message_0087
msg_059,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0173",0.86,message_0173;message_0053;message_0221;message_0174;message_0195
msg_024,mute,forward,severe notification fatigue; message has a forwarding signal; recipient has opted out or dismissed similar promotions; similar prior message message_0257,0.69,message_0257;message_0402;message_0052;message_0104;message_0157
msg_072,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0023",0.91,message_0023;message_0045;message_0085;message_0199;message_0195
msg_036,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0283,0.61,message_0283;message_0127;message_0128;message_0281;message_0282
msg_076,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0208,0.59,message_0208;message_0207;message_0159;message_0160;message_0286
msg_055,digest,unknown,ambiguous content; similar prior message message_0166,0.67,message_0166;message_0165;message_0347;message_0348;message_0349
msg_102,digest,personal,safe non-urgent content; message is from a personal chat; similar prior message message_0230,0.74,message_0230;message_0371;message_0059;message_0169;message_0060
msg_080,digest,unknown,ambiguous content; similar prior message message_0130,0.66,message_0130;message_0142;message_0180;message_0190;message_0216
msg_093,digest,scam,suspicious but not decisive; safety rules found risky content; message arrived during quiet hours; similar prior message message_0347,0.56,message_0347;message_0348;message_0349;message_0398;message_0387
msg_034,digest,spam,suspicious but not decisive; safety rules found risky content; recipient has muted this group; similar prior message message_0013,0.69,message_0013;message_0039;message_0077;message_0123;message_0171
msg_035,digest,business_update,safe non-urgent content; message comes from a business account; similar prior message message_0281,0.79,message_0281;message_0125;message_0283;message_0127;message_0126
msg_101,digest,personal,safe non-urgent content; message is from a personal chat; message arrived during quiet hours; similar prior message message_0229,0.73,message_0229;message_0370;message_0268;message_0027;message_0059
msg_041,digest,greeting,ambiguous content; message is conversational; similar prior message message_0137,0.65,message_0137;message_0138;message_0360;message_0361;message_0039
msg_011,digest,spam,suspicious but not decisive; safety rules found risky content; recipient has muted this group; similar prior message message_0014,0.69,message_0014;message_0077;message_0123;message_0171;message_0013
msg_110,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0238",0.89,message_0238;message_0320;message_0380;message_0381;message_0047
msg_095,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0087",0.90,message_0087;message_0183;message_0201;message_0088;message_0184
msg_074,mute,spam,severe notification fatigue; safety rules found risky content; image attachment is available; recipient has muted this group; similar prior message message_0203,0.67,message_0203;message_0204;message_0358;message_0389;message_0223
msg_073,digest,spam,suspicious but not decisive; safety rules found risky content; similar prior message message_0147,0.66,message_0147;message_0087;message_0183;message_0201;message_0088
msg_054,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0389,0.72,message_0389;message_0163;message_0164;message_0203;message_0358
msg_068,digest,unknown,ambiguous content; similar prior message message_0191,0.67,message_0191;message_0192
msg_100,notify,payment,trusted critical direct mention; message concerns payment or account activity; similar prior message message_0362,0.78,message_0362;message_0228;message_0249;message_0117;message_0055
msg_062,digest,spam,suspicious but not decisive; safety rules found risky content; image attachment is available; message arrived during quiet hours; similar prior message message_0043,0.74,message_0043;message_0129;message_0141;message_0179;message_0189
msg_096,digest,personal,safe non-urgent content; message is from a personal chat,0.71,none
msg_043,digest,spam,suspicious but not decisive; safety rules found risky content; similar prior message message_0067,0.61,message_0067;message_0097;message_0001;message_0030;message_0129
msg_077,digest,payment,safe non-urgent content; message concerns payment or account activity; image attachment is available; message arrived during quiet hours; similar prior message message_0051,0.80,message_0051;message_0403;message_0037;message_0364;message_0255
msg_081,digest,unknown,ambiguous content; voice-note attachment is available; similar prior message message_0217,0.68,message_0217
msg_025,digest,payment,safe non-urgent content; message refers to credentials or account access; recipient has opted out or dismissed similar promotions; similar prior message message_0004,0.84,message_0004;message_0239;message_0105;message_0106;message_0028
msg_084,mute,business_update,severe notification fatigue; message comes from a business account; voice-note attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0220,0.70,message_0220
msg_022,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0099,0.67,message_0099;message_0151;message_0100;message_0152;message_0030
