message_id,media_type,action,message_type,confidence,reason,evidence_ids,media_facts_summary,safety_signals,urgency_level,consistent,notes
msg_028,image,mute,promotion,0.87,promotion opt-out or repeated dismissal; message contains promotional language; image attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0034,message_0034;message_0112;message_0111,layout=document; ocr_conf=0.9715; qr=False; ocr_text=Happy Holidayers ADA IVU TOUR PACKAGES EXPERIENCE THE MAGIC OF LADAKH 40 UP TO % OFF SIGHTSEEING TRANSFERS MEALS STAY BOOK NOW +91 98056 076,,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_064,image,mute,scam,0.95,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; image attachment is available; image layout appears to be document; similar prior message message_",message_0087;message_0183;message_0201;message_0024,layout=document; ocr_conf=0.9792; qr=False; ocr_text=WATCH THE BIGGEST CINEMATIC EPIC IN 4DX MX4D AT AN UNBEATABLE PRICE TICKETS STARTING 199 AT ONLY ON 21sT JUL'26 CORTETORRRS THEODYSSEY 17.07,credential_or_login_code_request;credential_request_with_instruction;urgency_pressure,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_031,image,notify,event,0.67,useful urgent content; message describes an operational update or event; image attachment is available; image layout appears to be document; similar prior message message_0227,message_0227;message_0249,"layout=document; ocr_conf=0.9715; qr=False; dates=Friday; ocr_text=0 X Incident Review Friday, August 7 · 12:00 – 12:50pm Take meeting notes Start a new document to capture notes 3 guests 1 yes virtually 2 a",,high,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_087,voice,mute,promotion,0.72,severe notification fatigue; message contains promotional language; voice-note attachment is available; recipient has muted this group; similar prior message message_0163,message_0163;message_0164,"voice_transcript=hospital and residential apartments. One, two, three and four BHK apartments starting one crore to four crore. Expression of interest has just started. Dial one",,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_082,voice,notify,urgent,0.72,useful urgent content; urgent direct request or deadline was detected; voice-note attachment is available; similar prior message message_0218,message_0218;message_0380,voice_transcript=Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,,high,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_066,image,mute,promotion,0.81,promotion opt-out or repeated dismissal; message contains promotional language; image attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0257,message_0257;message_0402;message_0052,layout=text_poster; ocr_conf=0.9764; qr=False; dates=24-30; ocr_text=amazon 24-30 JUNE Prime Day UP TO 11.2% UP TO 60% OFF CASHBACK 2X CASHBACK EXCLUSIVE ON SHOPCASH,,medium,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_049,image,digest,event,0.80,safe non-urgent content; message describes an operational update or event; image attachment is available; image layout appears to be text_poster; similar prior message message_0154,message_0154;message_0291;message_0153,layout=text_poster; ocr_conf=0.9811; qr=False; ocr_text=Mart Jio,,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_053,image,mute,forward,0.61,repeated forwarding pattern; message has a forwarding signal; image attachment is available; image layout appears to be text_poster; similar prior message message_0411,message_0411;message_0253;message_0161;message_0162,"layout=text_poster; ocr_conf=0.998; qr=False; dates=07-03-2022; ocr_text=Nifty 50 - D - 1% - CMP: 15863.20(-2.35%) - 07-03-2022 Nifty 50, Spot, Daily 17879 Price breaks the prior swing low which 1% Brick Size, Ren",chain_or_excessive_forwarding,high,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_074,image,mute,promotion,0.66,severe notification fatigue; message contains promotional language; image attachment is available; recipient has muted this group; similar prior message message_0203,message_0203;message_0358;message_0223;message_0204;message_0389,layout=text_poster; ocr_conf=0.9774; qr=False; domains=reallygreatsite.com; ocr_text=Ingoude Company LAND PLOT FOR SALE Secure your dream investment! Prime land plots available 6品 strategic location high value future growth C,urgency_pressure;chain_or_excessive_forwarding,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_062,image,mute,forward,0.58,repeated forwarding pattern; message has a forwarding signal; image attachment is available; message arrived during quiet hours; similar prior message message_0043,message_0043;message_0410,layout=text_poster; ocr_conf=0.9962; qr=False; dates=4-11-2025; ocr_text=MISSINGPERSON Missing from: 4-11-2025 AGE:16 MELWYN NAME:- Door number 9 first Amani first cross Kasturi Nagar East of NGEF Plz help contact,chain_or_excessive_forwarding,medium,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_077,image,digest,event,0.73,safe non-urgent content; school operational update; image attachment is available; message arrived during quiet hours; similar prior message message_0051,message_0051;message_0037;message_0002;message_0403;message_0364,layout=document; ocr_conf=0.9925; qr=False; ocr_text=FIELD TRIP CONSENT FORM has permission to participate in a planned field trip activity. DATE: TRIP DESTINATION: 20 DEPARTURE TIME: RETURN TI,,medium,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_081,voice,digest,greeting,0.79,safe non-urgent content; message is conversational; voice-note attachment is available; similar prior message message_0217,message_0217,"voice_transcript=Hi, this is from school transport. Today's pick up will be from gate 2 instead of the main gate. Please reach by 340.",,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_084,voice,mute,promotion,0.82,promotion opt-out or repeated dismissal; message contains promotional language; voice-note attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0220,message_0220,"voice_transcript=cards in partnership with HDFC Bank and you're among the first to be invited. These cards offer up to 10% cashback on every swiggy, food and in stomach order. T",,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
