message_id,action,message_type,consistency_status,detected_issue,supporting_facts,evidence_ids,reason_repaired,final_reason
msg_056,notify,urgent,ok,none,safety=safe;resolver=trusted_critical_direct_mention;type=urgent;action=notify,message_0226;message_0167;message_0359;message_0054;message_0225,false,trusted_critical_direct_mention; urgent direct request or deadline was detected; recipient has muted this group; similar prior message message_0226
msg_027,digest,promotion,ok,none,safety=safe;resolver=safe non-urgent content;type=promotion;action=digest,message_0007;message_0033;message_0272;message_0109;message_0110,false,safe non-urgent content; message contains promotional language; image attachment is available; image layout appears to be document; similar prior message message_0007
msg_050,notify,event,ok,none,safety=safe;resolver=useful urgent content;type=event;action=notify,message_0279;message_0278;message_0155,false,useful urgent content; business appointment or scheduled update; similar prior message message_0279
msg_083,digest,greeting,ok,none,safety=safe;resolver=safe non-urgent content;type=greeting;action=digest,message_0219,false,safe non-urgent content; message is conversational; voice-note attachment is available; similar prior message message_0219
msg_063,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0181,false,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; similar prior message message_0181"
msg_033,digest,greeting,ok,none,safety=safe;resolver=safe non-urgent content;type=greeting;action=digest,message_0121;message_0372,false,safe non-urgent content; message is conversational; similar prior message message_0121
msg_061,mute,greeting,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=greeting;action=mute,message_0177;message_0193;message_0080;message_0042;message_0079,false,repeated forwarding pattern; forwarded greeting pattern; recipient has muted this group; similar prior message message_0177
msg_020,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0096;message_0049;message_0114,false,Safety override; suspicious domain:bit.ly; safety rules found risky content; similar prior message message_0096
msg_017,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0089,false,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; recipient has muted this group; similar prior message message_0089"
msg_058,mute,forward,ok,none,safety=suspicious;resolver=severe notification fatigue;type=forward;action=mute,message_0040;message_0241;message_0039;message_0078;message_0124,false,severe notification fatigue; message has a forwarding signal; recipient has muted this group; similar prior message message_0040
msg_026,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0032;message_0107,false,suspicious but not decisive; safety rules found risky content; similar prior message message_0032
msg_047,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0149;message_0001;message_0151;message_0068;message_0098,false,ambiguous content; similar prior message message_0149
msg_046,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0148;message_0147,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0148"
msg_042,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0140;message_0058,false,ambiguous content; similar prior message message_0140
msg_079,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0369,false,suspicious but not decisive; safety rules found risky content; similar prior message message_0369
msg_098,notify,urgent,ok,none,safety=safe;resolver=trusted critical direct mention;type=urgent;action=notify,message_0226;message_0359;message_0054;message_0225;message_0167,false,trusted critical direct mention; urgent direct request or deadline was detected; similar prior message message_0226
msg_037,digest,greeting,ok,none,safety=safe;resolver=safe non-urgent content;type=greeting;action=digest,message_0001;message_0271,false,safe non-urgent content; message is conversational; similar prior message message_0001
msg_007,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0070,false,ambiguous content; similar prior message message_0070
msg_085,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0221,false,suspicious but not decisive; safety rules found risky content; voice-note attachment is available; message arrived during quiet hours; similar prior message message_0221
msg_001,notify,urgent,ok,none,safety=safe;resolver=useful urgent content;type=urgent;action=notify,message_0057;message_0240;message_0139,false,useful urgent content; urgent direct request or deadline was detected; similar prior message message_0057
msg_021,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0068;message_0098;message_0029;message_0044;message_0001,false,suspicious but not decisive; safety rules found risky content; similar prior message message_0068
msg_028,mute,promotion,ok,none,safety=safe;resolver=promotion opt-out or repeated dismissal;type=promotion;action=mute,message_0034;message_0112;message_0111,false,promotion opt-out or repeated dismissal; message contains promotional language; image attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0034
msg_012,mute,forward,ok,none,safety=suspicious;resolver=severe notification fatigue;type=forward;action=mute,message_0079;message_0247;message_0178;message_0194;message_0177,false,severe notification fatigue; message has a forwarding signal; similar prior message message_0079
msg_064,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0087;message_0183;message_0201;message_0024,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; image attachment is available; image layout appears to be document; similar prior message message_"
msg_103,digest,personal,ok,none,safety=safe;resolver=safe non-urgent content;type=personal;action=digest,message_0065;message_0382;message_0231;message_0049;message_0066,false,safe non-urgent content; message is from a personal chat; similar prior message message_0065
msg_031,notify,event,ok,none,safety=safe;resolver=useful urgent content;type=event;action=notify,message_0227;message_0249,false,useful urgent content; message describes an operational update or event; image attachment is available; image layout appears to be document; similar prior message message_0227
msg_057,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0059;message_0169;message_0003;message_0266;message_0041,false,ambiguous content; similar prior message message_0059
msg_087,mute,promotion,ok,none,safety=safe;resolver=severe notification fatigue;type=promotion;action=mute,message_0163;message_0164,false,severe notification fatigue; message contains promotional language; voice-note attachment is available; recipient has muted this group; similar prior message message_0163
msg_067,digest,payment,ok,none,safety=safe;resolver=safe non-urgent content;type=payment;action=digest,message_0068;message_0098;message_0271;message_0029;message_0044,false,safe non-urgent content; message concerns payment or account activity; similar prior message message_0068
msg_039,digest,scam,ok,none,"safety=suspicious;resolver=urgent but queued by quiet hours, load, or risk;type=scam;action=digest",message_0364;message_0051;message_0403;message_0255;message_0133,false,"urgent but queued by quiet hours, load, or risk; safety rules found risky content; similar prior message message_0364"
msg_082,notify,urgent,ok,none,safety=safe;resolver=useful urgent content;type=urgent;action=notify,message_0218;message_0380,false,useful urgent content; urgent direct request or deadline was detected; voice-note attachment is available; similar prior message message_0218
msg_066,mute,promotion,ok,none,safety=safe;resolver=promotion opt-out or repeated dismissal;type=promotion;action=mute,message_0257;message_0402;message_0052,false,promotion opt-out or repeated dismissal; message contains promotional language; image attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0257
msg_049,digest,event,ok,none,safety=safe;resolver=safe non-urgent content;type=event;action=digest,message_0154;message_0291;message_0153,false,safe non-urgent content; message describes an operational update or event; image attachment is available; image layout appears to be text_poster; similar prior message message_0154
msg_015,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0023;message_0045,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0023"
msg_051,mute,promotion,ok,none,safety=safe;resolver=promotion opt-out or repeated dismissal;type=promotion;action=mute,message_0257;message_0402;message_0104;message_0157;message_0103,false,promotion opt-out or repeated dismissal; message contains promotional language; recipient has opted out or dismissed similar promotions; similar prior message message_0257
msg_097,digest,personal,ok,none,safety=safe;resolver=safe non-urgent content;type=personal;action=digest,message_0359;message_0054;message_0225;message_0167;message_0226,false,safe non-urgent content; direct personal response request; similar prior message message_0359
msg_089,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,none,false,ambiguous content; unfamiliar personal sender without urgency
msg_053,mute,forward,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=forward;action=mute,message_0411;message_0253;message_0161;message_0162,false,repeated forwarding pattern; message has a forwarding signal; image attachment is available; image layout appears to be text_poster; similar prior message message_0411
msg_059,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0053,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0053"
msg_024,mute,promotion,ok,none,safety=safe;resolver=promotion opt-out or repeated dismissal;type=promotion;action=mute,message_0257;message_0402;message_0104;message_0157;message_0103,false,promotion opt-out or repeated dismissal; message contains promotional language; recipient has opted out or dismissed similar promotions; similar prior message message_0257
msg_072,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0023;message_0045;message_0085;message_0199;message_0195,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0023"
msg_036,digest,spam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=spam;action=digest,message_0283;message_0127,false,suspicious but not decisive; safety rules found risky content; similar prior message message_0283
msg_076,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0208;message_0207;message_0159;message_0160,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0208"
msg_055,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0166;message_0165,false,ambiguous content; similar prior message message_0166
msg_102,digest,personal,ok,none,safety=safe;resolver=safe non-urgent content;type=personal;action=digest,message_0230;message_0371;message_0059;message_0169;message_0060,false,safe non-urgent content; message is from a personal chat; similar prior message message_0230
msg_080,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0130;message_0142;message_0180;message_0190;message_0216,false,ambiguous content; similar prior message message_0130
msg_093,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0347;message_0348;message_0349;message_0398,false,suspicious but not decisive; safety rules found risky content; message arrived during quiet hours; similar prior message message_0347
msg_034,mute,greeting,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=greeting;action=mute,message_0013;message_0039;message_0077;message_0123;message_0171,false,repeated forwarding pattern; forwarded greeting pattern; recipient has muted this group; similar prior message message_0013
msg_035,digest,business_update,ok,none,safety=safe;resolver=safe non-urgent content;type=business_update;action=digest,message_0281;message_0125,false,safe non-urgent content; message comes from a business account; similar prior message message_0281
msg_101,digest,personal,ok,none,safety=safe;resolver=safe non-urgent content;type=personal;action=digest,message_0229;message_0370;message_0268,false,safe non-urgent content; message is from a personal chat; message arrived during quiet hours; similar prior message message_0229
msg_041,digest,business_update,ok,none,safety=safe;resolver=ambiguous content;type=business_update;action=digest,message_0137;message_0138,false,ambiguous content; message comes from a business account; similar prior message message_0137
msg_011,mute,greeting,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=greeting;action=mute,message_0014;message_0077;message_0123;message_0171;message_0013,false,repeated forwarding pattern; forwarded greeting pattern; recipient has muted this group; similar prior message message_0014
msg_110,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0238,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0238"
msg_095,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0087;message_0183;message_0201;message_0088;message_0184,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0087"
msg_074,mute,promotion,ok,none,safety=suspicious;resolver=severe notification fatigue;type=promotion;action=mute,message_0203;message_0358;message_0223;message_0204;message_0389,false,severe notification fatigue; message contains promotional language; image attachment is available; recipient has muted this group; similar prior message message_0203
msg_073,mute,forward,ok,none,safety=suspicious;resolver=severe notification fatigue;type=forward;action=mute,message_0147,false,severe notification fatigue; message has a forwarding signal; similar prior message message_0147
msg_054,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0389;message_0163;message_0203,false,suspicious but not decisive; safety rules found risky content; similar prior message message_0389
msg_068,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0191,false,ambiguous content; similar prior message message_0191
msg_100,notify,urgent,ok,none,safety=safe;resolver=trusted critical direct mention;type=urgent;action=notify,message_0362;message_0228;message_0249;message_0117;message_0055,false,trusted critical direct mention; urgent direct request or deadline was detected; similar prior message message_0362
msg_062,mute,forward,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=forward;action=mute,message_0043;message_0410,false,repeated forwarding pattern; message has a forwarding signal; image attachment is available; message arrived during quiet hours; similar prior message message_0043
msg_096,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,none,false,ambiguous content; unfamiliar personal sender without urgency
msg_043,digest,forward,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=forward;action=digest,message_0067;message_0097;message_0001;message_0129;message_0141,false,suspicious but not decisive; message has a forwarding signal; similar prior message message_0067
msg_077,digest,event,ok,none,safety=safe;resolver=safe non-urgent content;type=event;action=digest,message_0051;message_0037;message_0002;message_0403;message_0364,false,safe non-urgent content; school operational update; image attachment is available; message arrived during quiet hours; similar prior message message_0051
msg_081,digest,greeting,ok,none,safety=safe;resolver=safe non-urgent content;type=greeting;action=digest,message_0217,false,safe non-urgent content; message is conversational; voice-note attachment is available; similar prior message message_0217
msg_025,notify,business_update,ok,none,safety=safe;resolver=trusted time-critical update;type=business_update;action=notify,message_0004;message_0239;message_0105;message_0106,false,trusted time-critical update; verified business update or account notice; similar prior message message_0004
msg_084,mute,promotion,ok,none,safety=safe;resolver=promotion opt-out or repeated dismissal;type=promotion;action=mute,message_0220,false,promotion opt-out or repeated dismissal; message contains promotional language; voice-note attachment is available; recipient has opted out or dismissed similar promotions; similar prior message message_0220
msg_022,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0099;message_0151,false,suspicious but not decisive; safety rules found risky content; similar prior message message_0099
